PID,RESPO,SAC_RCBF,VSRL,SPVT (Ours)
97,44,50,44,80
76,35,100,33,91
49,29,24,21,73
100,61,59,100,95
100,61,59,100,99
100,56,63,60,93
100,42,49,41,100
21,54,63,45,43
100,34,56,25,100
57,54,57,57,57
100,59,61,100,100
100,49,55,48,77
14,36,46,35,85
91,46,52,45,67
100,57,61,54,100
23,46,53,45,69
83,33,24,24,90
100,33,27,25,100
100,40,41,32,95
100,61,59,100,100
100,37,34,36,81
100,38,42,28,100
83,44,50,43,88
72,45,53,37,74
15,38,33,28,96
37,54,66,45,82
100,44,52,43,100
100,32,53,24,100
100,28,37,26,100
14,33,31,32,77
100,62,58,100,100
100,38,100,30,100
48,40,46,39,100
100,35,68,25,100
100,28,15,27,100
100,34,25,33,94
100,60,61,100,97
100,47,55,46,77
100,58,61,85,93
100,43,53,34,100
100,60,59,100,92
79,56,64,48,94
100,38,36,37,100
13,35,100,26,54
100,28,41,26,83
100,44,50,43,100
78,49,62,39,82
86,42,42,33,100
100,26,53,24,90
19,33,18,25,48
100,51,48,42,100
22,47,100,37,96
16,47,62,39,59
63,37,100,28,60
100,53,39,43,100
100,47,61,37,92
100,48,61,40,70
27,41,47,40,100
90,53,33,45,63
100,33,22,24,79
22,52,61,44,51
27,34,39,25,100
100,28,51,26,74
100,41,24,32,82
35,59,61,91,100
79,44,50,43,66
100,42,52,32,100
100,57,62,100,97
21,29,26,28,51
100,46,53,45,100
72,56,64,49,75
100,40,32,31,87
80,51,58,42,69
53,60,60,100,88
20,26,36,25,47
75,32,65,23,90
43,41,50,40,77
46,40,37,31,55
100,32,36,30,90
100,29,49,28,100
100,56,63,50,100
100,44,50,43,96
13,47,38,38,37
100,33,25,25,87
100,56,58,72,83
24,29,46,27,100
100,57,62,100,85
100,23,46,21,87
13,56,64,49,40
14,43,50,41,51
100,31,42,29,100
18,41,57,32,42
96,32,36,24,96
100,36,35,35,100
100,37,53,36,100
100,29,30,28,100
21,41,47,40,97
100,32,25,24,87
100,45,53,44,100
100,37,30,35,100
100,54,65,44,95
100,30,20,22,76
38,46,53,46,54
100,27,49,25,92
100,32,47,23,100
17,35,100,27,37
14,36,47,35,39
100,31,41,29,100
14,45,49,35,73
100,40,33,30,100
100,51,58,50,100
100,26,36,24,100
100,54,33,45,87
74,40,36,39,88
63,59,63,100,86
100,54,63,47,91
100,50,43,41,100
79,52,63,46,100
100,55,64,52,80
40,51,61,45,56
100,38,51,29,75
100,51,57,50,89
18,48,53,47,54
100,45,52,44,94
100,44,46,35,100
100,55,60,70,100
38,56,65,48,86
100,26,51,24,73
100,27,51,25,89
100,57,45,100,100
77,38,49,37,83
100,62,59,100,84
100,25,45,23,100
55,46,54,45,56
67,55,64,67,100
55,50,51,43,77
100,27,56,25,100
100,52,100,41,100
100,58,61,74,83
